,lat,long,people,weekend_mean,workdays_mean,day_mean,night_mean,metro,metro_dist,price
133,"(55.664, 55.666]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.02749968908915433,10000000.0
134,"(55.664, 55.666]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.03435524559656372,10000000.0
135,"(55.664, 55.666]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0,Печатники,0.03855321517071968,10000000.0
136,"(55.664, 55.666]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0,Печатники,0.033728332303862636,10000000.0
137,"(55.664, 55.666]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0,Печатники,0.02982616971720825,10000000.0
138,"(55.664, 55.666]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.02567386998487461,10000000.0
139,"(55.664, 55.666]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.01828654149914383,10000000.0
140,"(55.664, 55.666]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.011052040535579429,10000000.0
141,"(55.664, 55.666]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.00473261027340994,10000000.0
142,"(55.664, 55.666]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.005928541135892593,10000000.0
143,"(55.664, 55.666]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0,Люблино,0.011941071978681946,10000000.0
144,"(55.666, 55.669]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.010233616174170335,10000000.0
145,"(55.666, 55.669]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.008858718869012388,10000000.0
146,"(55.666, 55.669]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.012834597773210624,10000000.0
147,"(55.666, 55.669]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.019512224373463304,27960.0
148,"(55.666, 55.669]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0,Калужская,0.015325093800689728,10000000.0
149,"(55.666, 55.669]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0,Калужская,0.012048174135526672,21151.0
150,"(55.666, 55.669]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.009773704517734592,10000000.0
151,"(55.666, 55.669]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.0025933183375718987,10000000.0
152,"(55.666, 55.669]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.005515913342321132,10000000.0
153,"(55.666, 55.669]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.011184565257532593,10000000.0
154,"(55.666, 55.669]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.01513917104732174,10000000.0
155,"(55.666, 55.669]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0,Каховская,0.02080194221701596,10000000.0
156,"(55.666, 55.669]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0,Каховская,0.016145302722466247,10000000.0
157,"(55.666, 55.669]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.011306480442646635,10000000.0
158,"(55.666, 55.669]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.004902703335914416,10000000.0
159,"(55.666, 55.669]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0,Нагорная,0.005628943062427797,10000000.0
160,"(55.666, 55.669]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0,Нагорная,0.01116445251681048,10000000.0
161,"(55.666, 55.669]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.01522405005246201,30007.5
162,"(55.666, 55.669]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0,Каширская,0.018228790415163763,10000000.0
163,"(55.666, 55.669]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0,Каширская,0.014242148714296422,10000000.0
164,"(55.666, 55.669]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0,Каширская,0.013634104297685785,10000000.0
165,"(55.666, 55.669]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.011359264941009757,10000000.0
166,"(55.666, 55.669]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.010152974933489966,10000000.0
167,"(55.666, 55.669]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.013770726197267387,10000000.0
168,"(55.666, 55.669]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.01971504248030284,10000000.0
169,"(55.666, 55.669]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.026461914140896787,10000000.0
170,"(55.666, 55.669]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.033530328062818734,10000000.0
171,"(55.666, 55.669]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0,Печатники,0.03681033007186904,10000000.0
172,"(55.666, 55.669]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0,Печатники,0.031721450156005165,10000000.0
173,"(55.666, 55.669]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0,Печатники,0.027536346889154455,10000000.0
174,"(55.666, 55.669]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0,Печатники,0.025337726812007626,10000000.0
175,"(55.666, 55.669]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.01895646591535152,10000000.0
176,"(55.666, 55.669]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.012128379941280907,10000000.0
177,"(55.666, 55.669]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.006880959235452534,10000000.0
178,"(55.666, 55.669]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.007752264185381253,10000000.0
