,lat,long,people,weekend_mean,workdays_mean,day_mean,night_mean,metro,metro_dist
112,"(55.664, 55.666]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0,Калужская,0.013487345921269468
113,"(55.664, 55.666]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0,Калужская,0.009602525709417253
114,"(55.664, 55.666]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.01043433275298175
115,"(55.664, 55.666]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.004480546841619754
116,"(55.664, 55.666]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.006616290501478783
117,"(55.664, 55.666]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.01341548731876619
118,"(55.664, 55.666]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.017001308773150398
119,"(55.664, 55.666]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0,Каховская,0.01918517135706918
120,"(55.664, 55.666]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0,Каховская,0.01400074283743949
121,"(55.664, 55.666]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.010741810834303214
122,"(55.664, 55.666]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.0034038948279859313
123,"(55.664, 55.666]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.004504053729694157
124,"(55.664, 55.666]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.01122148385909703
125,"(55.664, 55.666]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.01302196989705993
126,"(55.664, 55.666]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0,Каширская,0.016481468381184684
127,"(55.664, 55.666]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0,Каширская,0.011924294528405419
128,"(55.664, 55.666]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0,Каширская,0.01119101425252413
129,"(55.664, 55.666]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.013602679883023567
130,"(55.664, 55.666]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.012612806983381466
131,"(55.664, 55.666]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.01567268005160786
132,"(55.664, 55.666]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.021087505779491946
133,"(55.664, 55.666]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.027499689089154334
134,"(55.664, 55.666]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.034355245596563715
135,"(55.664, 55.666]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0,Печатники,0.03855321517071968
136,"(55.664, 55.666]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0,Печатники,0.033728332303862636
137,"(55.664, 55.666]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0,Печатники,0.02982616971720825
138,"(55.664, 55.666]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.025673869984874607
139,"(55.664, 55.666]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.01828654149914383
140,"(55.664, 55.666]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.011052040535579432
141,"(55.664, 55.666]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.00473261027340994
142,"(55.664, 55.666]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.005928541135892593
143,"(55.664, 55.666]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0,Люблино,0.011941071978681946
